id,tool,asset,category,severity,title,description,evidence,recommendation,status
17,ffuf,http://scanme.nmap.org/admin,endpoint,High,Endpoint discovered: http://scanme.nmap.org/admin [403],"ffuf discovered endpoint 'http://scanme.nmap.org/admin' returning HTTP 403. Response size: 290 bytes, 12 words.","ffuf found: http://scanme.nmap.org/admin — status 403, length 290",This endpoint 'admin' appears to be a sensitive path. Restrict access immediately and review authentication controls.,Potential
19,ffuf,http://scanme.nmap.org/login,endpoint,High,Endpoint discovered: http://scanme.nmap.org/login [200],"ffuf discovered endpoint 'http://scanme.nmap.org/login' returning HTTP 200. Response size: 2100 bytes, 98 words.","ffuf found: http://scanme.nmap.org/login — status 200, length 2100",This endpoint 'login' appears to be a sensitive path. Restrict access immediately and review authentication controls.,Potential
1,nmap,scanme.nmap.org (45.33.32.156),open_port,Medium,Open port 22/tcp — tcpwrapped,Port 22 (tcp) is open on scanme.nmap.org (45.33.32.156). Service detected: tcpwrapped .,Nmap scan detected open port 22/tcp with service 'tcpwrapped' on 45.33.32.156,Restrict SSH access to trusted IPs only. Disable root login.,Potential
3,nmap,scanme.nmap.org (45.33.32.156),open_port,Low,Open port 9929/tcp — tcpwrapped,Port 9929 (tcp) is open on scanme.nmap.org (45.33.32.156). Service detected: tcpwrapped .,Nmap scan detected open port 9929/tcp with service 'tcpwrapped' on 45.33.32.156,Review this service and restrict access if not needed.,Potential
12,whatweb,http://scanme.nmap.org,tech_fingerprint,Low,Technology detected: Apache 2.4.7,WhatWeb detected 'Apache' on http://scanme.nmap.org. Detail: 2.4.7.,WhatWeb plugin match: Apache — 2.4.7 on http://scanme.nmap.org,Ensure Apache is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
16,ffuf,http://scanme.nmap.org/index.html,endpoint,Low,Endpoint discovered: http://scanme.nmap.org/index.html [200],"ffuf discovered endpoint 'http://scanme.nmap.org/index.html' returning HTTP 200. Response size: 1234 bytes, 56 words.","ffuf found: http://scanme.nmap.org/index.html — status 200, length 1234",Review endpoint 'http://scanme.nmap.org/index.html' to confirm it should be publicly accessible.,Potential
18,ffuf,http://scanme.nmap.org/images,endpoint,Low,Endpoint discovered: http://scanme.nmap.org/images [200],"ffuf discovered endpoint 'http://scanme.nmap.org/images' returning HTTP 200. Response size: 890 bytes, 34 words.","ffuf found: http://scanme.nmap.org/images — status 200, length 890",Review endpoint 'http://scanme.nmap.org/images' to confirm it should be publicly accessible.,Potential
2,nmap,scanme.nmap.org (45.33.32.156),open_port,Info,Open port 80/tcp — tcpwrapped,Port 80 (tcp) is open on scanme.nmap.org (45.33.32.156). Service detected: tcpwrapped .,Nmap scan detected open port 80/tcp with service 'tcpwrapped' on 45.33.32.156,Ensure web server is patched and properly configured.,Potential
4,subfinder,sub1.scanme.nmap.org,subdomain,Info,Subdomain discovered: sub1.scanme.nmap.org,Subdomain 'sub1.scanme.nmap.org' was discovered under the target domain 'scanme.nmap.org'. This expands the attack surface and may expose additional services.,Subfinder discovered subdomain: sub1.scanme.nmap.org,Review this subdomain. Ensure it is intentional and properly secured. Remove unused subdomains to reduce attack surface.,Potential
5,subfinder,sub2.scanme.nmap.org,subdomain,Info,Subdomain discovered: sub2.scanme.nmap.org,Subdomain 'sub2.scanme.nmap.org' was discovered under the target domain 'scanme.nmap.org'. This expands the attack surface and may expose additional services.,Subfinder discovered subdomain: sub2.scanme.nmap.org,Review this subdomain. Ensure it is intentional and properly secured. Remove unused subdomains to reduce attack surface.,Potential
6,subfinder,test.scanme.nmap.org,subdomain,Info,Subdomain discovered: test.scanme.nmap.org,Subdomain 'test.scanme.nmap.org' was discovered under the target domain 'scanme.nmap.org'. This expands the attack surface and may expose additional services.,Subfinder discovered subdomain: test.scanme.nmap.org,Review this subdomain. Ensure it is intentional and properly secured. Remove unused subdomains to reduce attack surface.,Potential
7,subfinder,sub1.scanme.nmap.org,subdomain,Info,Subdomain discovered: sub1.scanme.nmap.org,Subdomain 'sub1.scanme.nmap.org' was discovered under the target domain 'scanme.nmap.org'. This expands the attack surface and may expose additional services.,Subfinder discovered subdomain: sub1.scanme.nmap.org,Review this subdomain. Ensure it is intentional and properly secured. Remove unused subdomains to reduce attack surface.,Potential
8,subfinder,sub2.scanme.nmap.org,subdomain,Info,Subdomain discovered: sub2.scanme.nmap.org,Subdomain 'sub2.scanme.nmap.org' was discovered under the target domain 'scanme.nmap.org'. This expands the attack surface and may expose additional services.,Subfinder discovered subdomain: sub2.scanme.nmap.org,Review this subdomain. Ensure it is intentional and properly secured. Remove unused subdomains to reduce attack surface.,Potential
9,subfinder,test.scanme.nmap.org,subdomain,Info,Subdomain discovered: test.scanme.nmap.org,Subdomain 'test.scanme.nmap.org' was discovered under the target domain 'scanme.nmap.org'. This expands the attack surface and may expose additional services.,Subfinder discovered subdomain: test.scanme.nmap.org,Review this subdomain. Ensure it is intentional and properly secured. Remove unused subdomains to reduce attack surface.,Potential
10,httpx,http://scanme.nmap.org,live_host,Info,Live host detected: http://scanme.nmap.org [200],Host http://scanme.nmap.org is live and returned HTTP 200. Page title: Go ahead and ScanMe!. Technologies detected: Apache.,httpx detected live host at http://scanme.nmap.org with status 200 and content length 0,Review this host. Ensure it is intentional and properly secured. Check for sensitive information exposure and proper authentication.,Potential
11,httpx,https://scanme.nmap.org,live_host,Info,Live host detected: https://scanme.nmap.org [200],Host https://scanme.nmap.org is live and returned HTTP 200. Page title: Go ahead and ScanMe!. Technologies detected: Apache.,httpx detected live host at https://scanme.nmap.org with status 200 and content length 0,Review this host. Ensure it is intentional and properly secured. Check for sensitive information exposure and proper authentication.,Potential
13,whatweb,http://scanme.nmap.org,tech_fingerprint,Info,Technology detected: Ubuntu,WhatWeb detected 'Ubuntu' on http://scanme.nmap.org. Detail: Ubuntu.,WhatWeb plugin match: Ubuntu — Ubuntu on http://scanme.nmap.org,Ensure Ubuntu is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
14,whatweb,http://scanme.nmap.org,tech_fingerprint,Info,Technology detected: HTML5,WhatWeb detected 'HTML5' on http://scanme.nmap.org. Detail: detected.,WhatWeb plugin match: HTML5 — detected on http://scanme.nmap.org,Ensure HTML5 is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
15,whatweb,http://scanme.nmap.org,tech_fingerprint,Info,Technology detected: HTTPServer,WhatWeb detected 'HTTPServer' on http://scanme.nmap.org. Detail: Apache/2.4.7 (Ubuntu).,WhatWeb plugin match: HTTPServer — Apache/2.4.7 (Ubuntu) on http://scanme.nmap.org,Ensure HTTPServer is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
